Idme,gender,age,UCLA3itemscale,Q9_Loneliness_Meaning_Qual,cleaned_text
43171,2,18,9.0,Lack of contact with others. No hobbies or interests.,hobby interest
23268,1,29,4.0,"Lack of contact with other people, feeling left out.",
28921,2,27,5.0,Lacking conversational contact beyond the mundane,packing conversational beyond mundane
40544,1,28,5.0,Lack of daily connection and communication,
42304,1,26,6.0,Lack of emotional support,
39331,2,27,8.0,lack of emotional support,
6345,1,19,5.0,A lack of engaging with others. In the past I have had opportunities to engage with people (events etc.) but not taken them for various reasons.,engaging opportunity engage event taken various reason
46309,1,28,3.0,lack of enjoyable social life,enjoyable
28534,2,19,6.0,Lack of existence.,existence
20084,2,25,8.0,A lack of feeling connected and cared about.  Feeling i have no connections.  Feeling i am unable to connect.  Feeling disliked.  Feeling distant from the world and everybody in it.,cared connection disliked distant everybody
26850,1,17,9.0,Lacking the gentle warm feeling of mutual friendship. Having no-one to share the ups and downs of life with. Cooking for one. Making decisions alone. Being unable to share thoughts and ideas. Not being needed and not having anyone to help me.Missing out on activities. Feeling very unsure of myself.,packing gentle warm mutual decision thought idea activity ensure
24130,2,21,6.0,Lack of genuine friends.   Friends caught up with busy lives who don't always have time to include me.  Not having a life partner to share more difficult times,genuine friend friend caught life include time
43498,2,24,3.0,lack of genuine intimacy. Not being visible to anyone,genuine visible
42978,1,17,9.0,Lack of human company,
44757,2,18,9.0,lack of human contact,
44291,2,27,7.0,Lack of human contact,
27554,2,24,5.0,Lack of human contact and conversation.,
33698,2,23,7.0,Lack of human contact . Isolated . Sad. Marginalised. ,marginalised
30300,2,20,8.0,"Lack of human contact; isolation; sometimes, low self-esteem",esteem
44976,2,28,5.0,Lacking human contact. Missing other people. Feel low in mood and energy as no one to be with. ,packing mood energy
24233,1,26,8.0,"A lack of human contact, in the sense of being able to communicate with somebody. It is possible to be lonely in a train full of people. ",train
19142,1,28,8.0,lack of interaction with others.,
32074,2,22,8.0,Lack of interaction with other people and feeling low about it.,
15216,2,28,6.0,Lack of interaction and someone to bounce ideas off,bounce idea
21537,2,17,4.0,A lack of interaction. Time on your hands and a sense of uselessness.,hand uselessness
10708,1,24,6.0,Lack of loving connection with someone you love. Friend or partner or family member. ,loving
15665,2,22,8.0,It is a lack of meaningful company and intimacy. It prevents most leisure activities and is a vicious circle. I feel that I am wasting my life. ,prevents leisure activity vicious wasting
31198,2,22,8.0,lack of meaningful connection,
6692,2,20,8.0,"It's the lack of a meaningful connection with a friend, family or significant other. The feeling of being isolated with no one to have meaningful conversation with, no one to share what's really on your mind, your fears, expectations, insecurities. Having no one with whom you're comfortable enough to be close to physically. Lack of real social connection and touch.",significant fear expectation security
7897,2,27,3.0,The Lack of a meaningful connection with other human beings.,being
15073,2,25,7.0,"Lack of meaningful interaction with persons of similar thinking or stimulating and provocative social discussive intercourse. The inability to share something with, like a travel arrangement or an adventure or just going to the pub or a restaurant. Not having someone at home, to come home to.",person stimulating provocative discussion intercourse travel arrangement adventure pub restaurant
25125,2,26,9.0,"Lack of meaningful intervention with friends, partners or likely",intervention friend partner likely
7525,2,20,7.0,Lack of meaningful personal social interaction. Lack of person I can share very personal problems with. Lack of empathy from others. ,problem
16878,2,24,6.0,Lack of meaningful relationships. No one to turn to. Emptiness. Lack of contact - physical and emotional. Little purpose in life.,relationship
14071,2,29,6.0,lack of opportunities to spend time with people.,opportunity
13304,2,21,6.0,"lack of people with whom I can communicate ""on the same wavelength""",wavelength
38920,1,21,4.0,Lack of people to interact with.,
44641,2,29,7.0,Lack of people to share my thoughts,thought
24021,1,29,8.0,Lack of people to talk to or a support network. Not having friends who you regularly seeing.,friend regularly
14059,2,16,8.0,Lack of person to person communication. Company. No sounding board. No one to share common interests. Prolonged silence. Finding help with carrying out tasks which are too heavy to do alone.,sounding board interest prolonged carrying task heavy
27951,2,27,7.0,Lack of personal contact.  The exchange of ideas,exchange idea
6883,2,27,6.0,The lack of persons in your life in the ones you can trust. Unable to find people with the one you can express yourself. ,person one
16217,2,26,9.0,"Lack of physical contact, ie hugs, lack of feedback, no one to share secrets with. A feeling of distance from society, of a life that is meaningless",huge feedback secret meaningless
38369,1,17,7.0,Lacking relationships that matter,packing relationship
26083,2,18,9.0,Lack of a romantic relationship. Missing fisical contact. Missing someone that understands me.,romantic fiscal
1894,2,29,8.0,Lack of self worth. Can't be bothered to do things other than to fill in time.,gathered thing fill
15055,1,18,7.0,"lack of self woth, dispair, consequently no reason to do anything",despair consequently
24216,1,24,8.0,"The lack of a sense of connection with others. Feeling alone, forgotten, invisible.",
8351,1,25,5.0,"Lacking a sense of place, belonging.",packing
46201,2,24,5.0,lack of sharing,
44594,2,21,9.0,lack/shortage of human company. My wife passed away 3 years ago.A feeling derived from schooldays that I'm not worth talking to. Though in fact I'm better at making conversation than I used to be.I am proactive at phoning friends.I like listening. I like controversial chat.,shortage wife passed year derived schooldays used practice showing friend listening controversial
28006,2,27,7.0,lacking sincere friendships,sincere friendship
33525,2,25,5.0,Lack of social choice in what I do and with whom I associate.  Being in the company of people I don't want to be with. No social mobility.,associate mobility
45469,2,23,6.0,"A lack of social contact, whether that be physical or emotional, friendly or romantically.",friendly romantically
35581,2,20,8.0,Lack of social interaction.,
32811,2,21,8.0,"Lack of social interaction. Being by oneself. You can live among others (e.g. with a family) and still be lonely; no interaction with them. Having many contacts on a social media platform, does not mean you are NOT lonely; lack of quality social interaction with others even on these social platforms contributes to loneliness.",among g medium platform platform contributes
46283,1,27,4.0,"Having a lack of social interaction with people who understand and value you. Feeling unloved, uncared for. ",
9345,1,16,7.0,Lack of social interactions with people close to you.,interaction
35378,1,27,4.0,Lack of someone to talk to and to do things with and sometimes lack of someone to help me with things I need to do.,thing thing
2296,1,21,9.0,Lack of a sounding board for enjoying shared experiences. Distance from loved ones. ,sounding board experience one
27981,2,26,4.0,"A lack of support, conversation and understanding.",
21364,2,25,6.0,Lack of support. Lack of physical affection. ,affection
11139,2,24,4.0,Lack of support . No one to talk to openly . Sense of despair. Silenxe. ,openly despair
42818,1,22,6.0,Lack of truly rekationships,relationship
15514,2,17,8.0,"lack of being understood among people with you, nobody to talk to for longer than I feel comfortable, having no-one around you who has the same physical differences, as in disability or race",among longer difference disability race
46265,1,17,7.0,A lack of understanding. A feeling of isolation,
16628,2,16,6.0,"Over the last two years three of my closest friends have died.This loss has made me feel very lonely at times, as although I have other friends and family they are often busy with their own lives and I don't want to intrude.",year three closest friend time friend life intrude
47693,1,22,,Being left alone. Needing someone of a like mind to share something with. Being stuck with a non empathetic or non responsive person and unable to get away. ,feeding stuck non sympathetic non responsive
15943,1,25,6.0,"It leaves me feeling low, negative, unimportant and unmotivated, but is often a reflection of me not feeling good about myself. I have lots of people around me but don't mind my own company if I'm content. ",leaf unimportant unmotivated reflection lot content
23432,2,23,9.0,"Leaves you feeling non existent, being alone is hard going.",leaf non extent
10971,1,28,6.0,Life is a dead end,dead
40072,1,23,6.0,My life is ending without any love . I long to hear someone's voice. No one seems to care ,ending voice
16884,2,26,3.0,Life feels a bit meaningless without someone to share it with. Burden of being responsible for absolutely everything in my life. Spend too much time ruminating/brooding/procrastinating. Being retired doesn't help. ,feel meaningless burden responsible absolutely nominating brooding procrastinating retired
374,2,21,8.0,"It is my life. I find it hard to make friends. Loneliness is a constant companion, forgotten sometimes in the company of others.",friend constant companion
6161,1,21,9.0,life after infancy,infancy
11506,2,24,5.0,That life is never going to get better. That people don't value you or use you to get what they want. To feel that the world moves on but you don't.,use move
30025,1,19,9.0,that life is pointless.,painless
47524,2,19,,that lifef is a thing you do by yourself and we are all deeply separated,deeply
6245,2,24,8.0,"During my life I would've given different answers to this, but today it means living without a partner to share intimacy with in various forms.",given answer today mean various form
14466,2,28,4.0,I am more likely to feel lonely if I have to be with people I have little in common with.,likely
24651,1,25,5.0,"Being limited in your horizons because of not being able to connect with people. Feeling as if others dislike you and that is the reason that you are alone, it is ok to be alone but when it is because others dislike you then that is loneliness.",limited horizon dislike ok dislike
3694,1,27,8.0,Limitation. Missed opportunities and experiences.,limitation kissed opportunity experience
39500,2,18,7.0,"literally being alone almost all the time, feeling alone even when with others, not being in  relationship",literally
24313,1,25,6.0,little.,
46986,2,29,6.0,little contact with other people.  poor quality of contact. feeling alien. lack of intimacy,poor alien
37446,2,22,4.0,Having little meaningful interaction with other people. Not being able to share a worry or issue with someone you trust without fear of judgement or ridicule.,judgement ridicule
16895,1,25,7.0,Having little to no contact with other people when you would rather that you had more.,
4610,2,26,3.0,"Little or no human interaction. No one taking a personal interest in you and vice versa. Boredom, depressing, limiting opportunities and potential, feelings of low self esteem and self worth. ",vice versa depressing limiting opportunity potential feeling esteem
24977,2,28,6.0,"Having little or no regular face-to-face social interaction with the same individuals or groups of people. Being alone with my own thoughts too often. Not having an individual or group of people that I can call on to do activities with, e.g. going for a coffee, a walk, a drink, to the cinema. Nobody to share and talk about experiences with.",regular individual group thought activity g walk drink cinema experience
38464,2,26,6.0,"having little social contact. Feeling alone to extent of feeling hopeless, depressed.",extent hopeless
11997,1,26,3.0,Living on your own.... ,
19854,1,22,6.0,Living alone. ,
181,2,29,3.0,Living and being alone,
18216,2,26,7.0,"I live alone from choice. I consider myself to be a moderately sociable person, with a handful of widely-scattered friends and numerous pleasant acquaintances and interests. Nevertheless, and throughout my life, I have always needed and appreciated periods of solitude. I have never been aware of experiencing  ""loneliness"", though I recognise it in other people and do what I reasonably can to alleviate it, while preserving my own Comfort Zone. I'm not a cold person, and I don't think I'm smug......just lucky to have been spared ( so far ! ) what is obviously a crippling Societal ill  . ",consider moderately handful widely scattered friend numerous pleasant acquaintance interest nevertheless throughout appreciated period aware experiencing recognise reasonably alleviate preserving cold snug lucky spared obviously crippling societal
6355,1,16,8.0,Living alone doesn't necessarily bring me the sense of loneliness all the time.,bring
25324,2,17,9.0,"Living alone after losing my husband 23 years ago early in his retirement when we had so many plans.  Not having someone to share everyday comments on news, books and other activities.  Loss of very old friends with whom I had shared experiences.  Giving up driving which was my own choice deprives me of just wandering into town or visiting gardens or just going for a drive.  Physically finding travel more difficult because I have always enjoyed going to new places.",year early retirement plan comment news book activity friend experience driving deprives wandering town visiting garden drive travel enjoyed place
40410,2,28,5.0,living alone means always coming back to an empty house with no one to tell about your day . Eating alone . No one to make you acup of tea and sympathy especially when unwell. Casting around for companionship. ,mean cup tea sympathy unwell wasting
11942,2,26,5.0,I live alone but I never really feel lonely. I very rarely even bother to switch the TV or radio on for 'company' I go out to organised events. I like my own company when at home,bother switch radio organised event
14253,1,29,7.0,Living alone some nights when things go wrong wish I had someone to share with. ,night thing
5241,2,23,6.0,Living alone. No intimacy. Isolation. No one to go to the cinema with. Shame. Failure. ,cinema shame failure
10421,2,26,6.0,"Living alone. Having noone to talk to in the evenings after work. Not being myself at work, putting on a brave face. Living far away from my relatives. ",evening putting brave relative
30382,1,21,4.0,I live alone but am not lonely.  However when I was younger I was lonely after a break down in a long term relationship.  I felt very hollow and sad,younger break term hollow
35916,1,26,7.0,Living alone to me does not mean being lonely.  Lonely means feeling abandoned by society,mean
48630,2,19,,i live alone but am not nesecerily lonely',nesecerily
18462,1,16,7.0,I live alone but I am not often lonely but sometimes I don't see anyone else for a few days then I can get lonely . I do speak to people on the phone and that makes a difference . ,day make
32952,2,24,7.0,Living alone.  Seeing other people with close relationships.  No partner.  Waking in the night with no one to talk to.  Few people share interests.  ,relationship interest
14320,2,22,8.0,"Living alone, separated from my friends.",friend
15079,2,26,5.0,living alone. being single. having space,
20007,1,18,8.0,I live alone and spend most weekday evenings and about half of weekends alone but I like this most of the time and do not feel lonely because of this. If I spend unusual (for me) amounts of time with others I can crave being alone. I feel lonely when I am over stressed and there is no-one to talk to or when I miss intimate contact.,weekly evening half unusual amount grave stressed
22246,1,16,7.0,"Living in a bit of a bubble and not able to comunicate, or empathise with people. Not able to talk over problems with someone.Walking in a crowded place by yourself, believing you are invisible to others.",bubble empathise problem crowded believing
13697,2,20,8.0,Living in different countries; creative thoughts; looking for a life partner; living on my own; not living near my mum,country creative thought near sum
25591,2,23,5.0,Living far away from friends. Being in a relationship where we are leading separate lives. ,friend leading life
508,2,18,8.0,I live on my own but I am not lonely. My elderly mum lives on her own and she is lonely. My sister lives with her husband who has a brain tumour at the moment he isn't communicating well she is sometimes lonely,elderly sum life sister life brain tumour communicating
20730,2,26,6.0,living by oneself and having more time alone than one knows what to do with.,know
8175,2,20,8.0,"I live with my partner and I am very close to my family and small number of close friends, but I still think that it's possible to feel lonely even when people are around you. I don't feel I have a major issue with not seeing/spending time with other people a lot, but I sometimes feel they don't always understand how I feel which makes me feel isolated. Loneliness to me is also living in a city, where I don't know my neighbours and struggle to connect with my community. I often feel nostalgic for a time when people cared more about others where they live, which may be me using rose tinted glasses, but I think 50 years ago there was more of a sense of community and belonging.",number friend major make city neighbour nostalgic cared using rose tinted glass year
44640,1,27,7.0,"to live with people who can't understand you and can't fell you feelings, and they have no culture or may be don't want to change or be better so you feel always that you live with empty brains",fell feeling culture brain
14614,1,22,7.0,"I live on my own but I am rarely lonely. Occasionally I notice when I am with a group and most other people are in couples, but I was once part of a couple and now find the advantages of being solo mostly outweighs the disadvantages. I feel vulnerable when illness or other distress mean that I can't look after myself, but don't class that as lonely.",occasionally couple advantage solo mostly outweighs disadvantage vulnerable distress class
47902,1,20,,"I live in a very rural but beautifull area. It is 3 miles to the nearest bus stop and the bus does not always run and then one i   s left waiting to see if it will turn up or not. I do not own a car and I am quite able to walk the distance but I would feel more independant by not having to ask my daughter for a lift which sometimes is an inconvenience to her. I enjoy living here with my animals and polytunnel and feel very privalidged butmy friends from when I worked and lived in a small town no longer keep in touch, althought I have tried to keep in contact over the 8+ years that I  have lived here. I am told that I live in the sticks and its a long way to come,but I have been several times  by train to visit them and my sisters .It makes me feel desolate and my confidence regarding my personality makes me doubt that perhaps I am thought of as out of touch or to old to be included or of no interest. My daughter and her partner are very good to me and include me in most of there activities but obviously I or they wish to do their own thing , thats fine and how it should be, but my husband is very unaware of me and I often think he requires a hearing aid as he just dosnt reply or chat or enquire about what  I am doing and quite often when I am talking to someone ,even if its the local farmer delivering hay, he will come out and talk over me, which is embarassing.",rural beautiful area mile nearest bus stop bus run waiting car walk independent daughter lift inconvenience animal polytunnel privalidged friend worked town longer tried year told stick several time train sister make desolate regarding personality make doubt daughter include activity obviously fine unaware requires hearing aid reply enquire local farmer delivering hay embarrassing
6144,2,22,6.0,Living social death ,death
24521,2,20,9.0,"living in a society where everybody's thoughts and ideals are so different from those you seek to uphold, that true friendhip is almost impossible to achieve because expressing oneself would only serve to alienate from the people around you, thus, having nobody to confide in.",everybody thought ideal seek uphold impossible achieve expressing serve alienated thus
38488,2,27,5.0,Living by myself.   Unable to share good events  eg receiving a windfall or buying something new such as a new vehicle.   Going on holiday or outings by myself.,event eg receiving windfall buying vehicle outing
12420,2,20,9.0,"Living within a family or community but not being truly seen, heard or understood. Not enjoying ones own company contrasting with solitude, where one does..",seen heard one contrasting
14323,2,23,9.0,Living in a world without friends who have died.  Lack of social intercourse.  Lack of affection.,friend intercourse affection
40490,2,17,6.0,I live on my own. I would feed lonely if I had no friends. My daughter died 10 years ago. My husband died 5 years ago.,feed friend daughter year year
20596,1,25,7.0,"Lone means awareness, perception of a situation. ",mean awareness perception
21427,2,28,6.0,I am a lone parent but don't see myself as lonely. I was a lone worker for many years and am happy in myself. I don't feel the need to have people around me. ,lone lone worker year
15853,2,24,9.0,"I am a lone worker, but deal with lots of people, have family but live alone. Don't like social events, as I am shy.",lone worker deal lot event shy
8843,2,24,5.0,"Loneliness to me is abandonment. It is like people who have a best friend but don't really have one at the same time. I think loneliness is walking hallways alone, playing basketball alone, even singing alone. For loneliness is purposeful isolation, or self isolation. I think people are mostly lonely because they are alienated and don't fit in a crowd, or are isolated on purpose.",abandonment walking playing basketball singing purposeful mostly alienated
26462,2,29,5.0,Loneliness to me is an absence of valued human contact. Not nessesairily being physically alone but not having contact or a real connection with the people around you.,nessesairily
989,2,27,5.0,Loneliness is an absence. A wishing for company. A frozen state.,frozen
25841,2,29,4.0,"Loneliness is the ache I feel when I don't have someone I can reach out to, spend time with and connect with to talk about my life, share in theirs and do things with.  Loneliness feels dark and depressing and helpless ",ache thing feel dark depressing helpless
10636,1,27,6.0,"Loneliness is an ache in your heart, when you,'ve forgotten you should've believe everything you think, or everything you feel; and you get sideswiped by feeling both unloved and forgotten. Technically, this is impossible if one believes in a God who created man, but technicalities aside-one can forget ones connections both spiritually and socially. Then there's real trouble. I have lived in very, extremely isolated rural locations and cities. It really is all about attitude, and maintaining ones spiritual life. The social follows and can uplift the spirit, but it's not the progenitor of feeling un- lonely. ",ache heart sideswiped technically impossible belief god created man technicality aside forget one connection spiritually trouble extremely rural location city attitude maintaining one spiritual follows uplift spirit progenitor un
16671,2,29,3.0,loneliness: an aching with no feeling of being connected and valued,aching
6916,1,28,5.0,Loneliness is alien to me.,alien
44438,1,20,3.0,"Loneliness is alienation, skin to being an outlander. Even among friends the feeling of loneliness persists, making everything you say feel out of place. ",alteration skin outlander among friend persists
24366,2,16,5.0,"Loneliness is almost a physical pain of being alone. When I'm lonely, I am sad, my chest feels tighter, I may cry more, and I often feel more suicidal because I feel so alone.",chest feel tighter cry suicidal
42938,1,22,6.0,Loneliness is being alone when you don't really want to be.,
1731,2,29,5.0,Loneliness is being alone when you don't want to be. ,
28298,2,21,3.0,"Loneliness is when being alone is foisted on you, rather than chosen. Not having anyone to acknowledge / validate / recognise you. Lack of touch. ",hoisted chosen acknowledge validity recognise
32503,2,28,5.0,"Loneliness is having to be alone when you do not want to be. Loneliness is having nobody to witness the passing of your life, being alone with both your sadness and your joy. Loneliness is the physical pain of depression, without the feelings of hopelessness. Loneliness is having to pay for everything by yourself and not having anyone to share your burdens with. ",witness passing feeling hopelessness pay burden
15963,2,24,8.0,"loneliness is being alone and sad, depressed. Certain holidays celebrating couples and families really stresses lonely people",holiday celebrating couple family tress
35389,2,27,5.0,Loneliness is being alone and unable to be not alone despite your efforts. It's being acutely aware of the fact you are alone. I sometimes think of being lonely as like being on a desert island because you feel really stuck but in fact I think it's the opposite; if I were on a desert island I wouldn't be able to do anything about it whereas I feel most lonely when I'm left out.,effort acutely aware desert island stuck opposite desert island whereas
16301,2,24,5.0,"For me, loneliness is being alone [duh!], and unable to prevent that state from continuing.",prevent continuing
23853,2,25,6.0,"Loneliness is being alone and being unhappy about it. Simply being alone is not loneliness, negative feeling is required.",simply required
38710,2,28,9.0,Loneliness is being alone when you want to be with others. Loneliness can also be when you are surrounded by others but feel they don't like you or don't connect with you. Loneliness caused anxiety. Loneliness can cause trust issues and barriers to form that get in the way of future friendships. Loneliness can cause future loneliness.,caused cause issue barrier form friendship cause
14822,1,27,9.0,Loneliness being alone when you'd rather have company.,
24957,2,23,4.0,"Loneliness = aloneness. There is only me in my day. I miss the presence of another, to talk to, to share ideas to laugh with.",presence idea
9363,1,29,6.0,"Loneliness for me is when although I may be having a really good time, I may be absolutely happy, I will still have in the back on my mind the thoughts ""this is going to end soon. I'd rather wish I was never born because I will be back to being bored and depressed "" or sometimes I think ""I wish this moment will go on repeat"". Loneliness occurred when I decided to see which of my ""friends"" would contact me first or try to hang out with me; some of these people I haven't seen in over 3 years. I feel like this isn't something that can simply be cured from ""talking"" about it. I realised that making new friends or connections with people can never be made artificially (I tried and it's failed). It's always down to luck and timing to make friends. Makes me feel as thought life is just an endless struggle of finding the most entertaining or fullfilling way of killing time.  ",absolutely thought soon born repeat occurred decided friend seen year simply cured realised friend connection artificially tried failed luck timing friend take endless entertaining fulfilling killing
23822,1,24,3.0,"Loneliness is always present. I inflict it upon myself. It is painful, yet I do not know how to stop returning to it. I feel that only by dying I can free myself of loneliness, and I am trying to finish off some important commitments so that I may die and not suffer further.",present inflict upon stop returning dying free finish commitment suffer
19145,1,16,3.0,"Loneliness is an anxious and pitiful mental ""ache"". I experience it in isolation, during one-on-one conversations, and meandering through crowds. The feeling of loneliness has also caused social withdrawal because of how painful it is to feel no connection with the people around me.",anxious pitiful ache conversation wandering crowd caused withdrawal
48684,1,26,,"Loneliness is being apart or excluded from people whether you want to or not. It can also be felt eveb when you're surrounde with a lot of people because even if you're surrounded with many people, if you're not close with them, you can't help but still feel lonely and excluded.",
4669,2,26,9.0,Loneliness arises when there is a gap between a person's perceived personal need for social interaction - and the actual interaction that person experiences. The perception varies between people - and so does the gap.,arises gap perceived actual experience perception varies gap
28851,2,27,6.0,loneliness is being around other people but feeling like you are still seperate from them and feeling like you are not worth their attention.,attention
26089,1,28,4.0,"Loneliness is like being astronaut whose tether has been severed, and is drifting alone, in space. I feel separate from other people, alien, unable to understand their words or actions. It's exhausting. It can be easier to be on my own, but I crave someone with whom to share the experiences of life. Someone who understands me, my language. ",astronaut whose ether severed drifting alien action exhausting easier grave experience language
48542,2,20,,"Loneliness, atleast to me, means that I have no-one to share my deep thoughts and emotions. I'm generally a very open person and I can easily talk about my thoughts and feelings and if there's no-one around to do that with, I suppose I feel ""lonely"". ",mean thought emotion generally easily thought feeling suppose
43459,2,28,4.0,"Loneliness is an awful feeling that causes the lost of control. It can affect you in so many ways, especially, in your social relationships, because you are going to feel lonely even when you are surrounded by people who loves you. From my point of view, loneliness is the worst feeling in the world.",awful cause control affect way relationship love view worst
18155,2,27,6.0,Loneliness is an awful feeling that no one cares. ,awful care
9527,1,18,6.0,Loneliness is barren. It not having people you can connect with either emotionally or physically. You need both. ,barren
21562,1,23,7.0,"Loneliness can become a way of life. You can forget that you are lonely. You ice up, shut down. It takes glimpses of warmth, usually not connected to your own life, to remind you that you are lonely and are missing out on what others enjoy every day.",forget ice shut take glimpse warmth remind
32595,2,23,6.0,"Loneliness is a blanket which now covers my whole existence. I became ill 24 years ago when I was 30. At that time I had an extremely sociable job, lots of friends and many acquaintances.as the years have passed, many of those friendships have floundered. People were not able to understand the nature of my illness and seemed unable to accommodate it. Friendships were tested in ways they might not have been. I have 3 close friends from that time who have remained loyal and supportive. Maybe the process of illness sorted through my friendships to reveal the true friends. However, the circumstances of my illness, and the fact that I had to relocate geographically means that I very rarely see them, and contact is by text. Because I am unable to work, I experience intense isolation - both social, and emotional. The isolation erodes my sense of self - we get to be â€""our selfâ€ only in relationship to/be with others, to â€""BEâ€. This has eroded my confidence to the degree that I find it hard now to be with others. A vicious circle. I have made about 3 new friends in the last 5 years, all of whom I was drawn to for their empathic understanding, sincerity, acceptance of me as I am, kindness, and a general compatibility. These qualities are this I hope I reciprocate. But I rarely feel physically able to see people.  The weeks pass with the only contact I have is with my elderly parents. I have felt at times that I might die of loneliness. I have always been very good at being alone, preferring to live alone, and needing a lot of alone-time, particularly when my job was so sociable. I still need time alone, but the extreme isolation is mind altering. I have literally felt that it might kill me. I know this lack of purpose etc all contribute now to the effects of my physical illness and compound it. Quite simply, I have felt, and feel, that loneliness is eating me alive. It is killing me, a long, slow, painful death, which no one else can see. ",blanket cover whole existence became year extremely job lot friend acquaintance year passed friendship floundered nature seemed accommodate friendship tested way friend remained loyal suppurative process sorted friendship reveal friend circumstance delicate geographical mean text intense erodes eroded degree vicious friend year drawn emphatic sincerity acceptance kindness incompatibility quality hope reciprocated week pas elderly parent time preferring needing particularly job extreme altering literally kill contribute effect compound simply alive killing slow death
48017,2,28,,"Loneliness is being caught in the trap between surface traditional friendships, and extended public encounters. Loneliness is spilling your whole life on to a person because up until that point you've had no one to share that information with. Loneliness is having some friends who don't share your same desire to keep the friendship going ",caught trap surface traditional friendship extended public encounter spelling whole information friend
28442,2,24,4.0,Loneliness causes me to feel unhappy. I was taught and came to believe that being lonely means I lack the ineer ability to give my being what is needed.,cause taught came mean inner ability
14983,2,29,9.0,Loneliness is both a choice and something that happens to you. It affects you both physically and psychologically and can make your ability to interact with people worst.,affect psychological ability worst
1447,1,22,8.0,"Hmmm, for me loneliness is a combination of things. It is being uncomfortable or unhappy with your own company or being alone. It is also not feeling able to or confident in making friends (i.e. people won't like you). It's can also be a lack of opportunity to not be alone, loneliness can stem from a lack of choice about being alone.",mmm combination thing uncomfortable confident friend stem
31622,2,26,9.0,"Loneliness has come with age.  After retirement I took up voluntary driving locally for a national charity.  Sadly, finance seemed to dry up and the administration became almost non-existent to volunteers.  That removed contact with a lovely variety of local folk.  Some form of social activity is required to avoid loneliness.  Leisure and evening classes that used to exist have been squeezed out by budget constraints.  Widowed  35 years ago I found (as I saw for my mother) that friends of a couple of melted away, and family is spread widely.  I have three activities important to me but that leaves a lot of time to be filled in somehow, and I am not an easy socialiser.      ",retirement took voluntary driving locally national charity badly finance seemed dry administration became non extent volunteer removed lovely variety local folk form required avoid leisure class used exist squeezed budget constraint endowed year found saw mother friend melted spread widely three activity leaf filled somehow easy socialist
11263,2,22,8.0,"Loneliness comes for me when I'm in a bad mental or physical state, and feel that I have no one to help me. ",come
5548,2,28,3.0,"Loneliness comes from feeling that I do not matter to others, and when I am not able to relate to painful states of mind as a result. ",come state result
25048,2,18,9.0,Loneliness is coming home to an empty house after work. It's spending the day with a smile to come home to silence. ,smile
45465,1,17,5.0,"Loneliness for me came suddenly when my wife died, quite unexpectedly following a catastrophic stroke from which she never regained consciousness.  We has only recently taken early retirement and assumed we might well gave another 20 years or so together.  We did everything together, were each others' best friends, and soulmates.  We relied on each other and were content with ourselves and did not cultivate a circle of friends.",came suddenly wife unexpectedly following catastrophe stroke regained consciousness recently taken early retirement assumed gave year friend soulmates relied content cultivate friend
8280,2,27,8.0,Loneliness is being in the company of others and feeling that no one cares enough about me to chat or relate. ,care
47657,1,25,,Loneliness is a condition that affects the quality of human life. When a person understands and channels his/her loneliness to creative interactions with others life can change. ,condition affect channel creative interaction
22976,2,26,9.0,loneliness is the condition you're in when spending time alone is not the result of a choice,condition result
8403,2,29,9.0,"Loneliness could be when you are alone when you feel everyone else is out having fun.  When you're in a group of people and you find it difficult to talk to others and feel excluded.  When you have something good that you want to do, but realise there's no one to do it with.  Not being in a relationship.",realise
36313,2,29,8.0,Loneliness to me could be described as an unwanted feeling of being alone ,described
28380,1,26,6.0,"Loneliness could mean and come in many forms to me. I I emigrated to the US 20 years ago with no family. I married an American and we have a child. I have wonderful in laws that live far away. Loneliness in being away from your family, friends you grew up with and your country of birth and culture. Loneliness could also occur even when you're in a relationship. . ",form emigrated year american wonderful law friend grew country birth culture occur
36287,2,22,7.0,Loneliness is when you crave good company but don't have it. I have been at my loneliest when married with two children. It is not about being alone. Its about a human connection.,grave child
12898,1,26,9.0,Loneliness is The death of my dog. It is wanting to share something with someone else but not knowing anyone who is available.loneliness is feeling invisible.,death dog
26093,1,25,4.0,Loneliness is a deep set feeling at times i feel overwhelmed by it. I have family and friends but dont feel connected at times.,set time overwhelmed friend time
10331,2,25,9.0,"Loneliness is a deep well of longing, an ache in the chest in the heart.  It's a feeling of isolation, of not connecting with the world. Loneliness is profoundly sad. Loneliness is grief.   ",ache chest heart profoundly grief
24598,1,18,6.0,Loneliness to me is the desire for empathetic company when none is available.,sympathetic
30726,2,27,4.0,Loneliness to me is a desire to be with people / animals but not having them there. It's something I rarely / if ever feel. Maybe I fear it so go out of my way to avoid it -  at the moment my life is structured so that is rarely a risk. The idea of loneliness saddens me. watching others I perceive to be lonely makes me befriend them to try and to help them avoid it. I see loneliness as a sign of a societies care and nurture of each other.,animal avoid structure risk sadden perceive make befriend avoid sign society nurtured
28058,2,24,9.0,Loneliness is a desperate feeling of isolation.,desperate
24832,1,18,8.0,"Loneliness is different from being alone. Being alone is a chance to let the mind wander, listen to the still small voice, and let creativity unfold. Loneliness is an absence of people who make you feel connected, and understood, something you feel when you don't see your friends often enough. And enough can vary a lot from person to person. It's possible to be lonely in the presence of others, if they aren't on the same wavelength as you, and the loneliness feels more sharp than if you were just alone.",chance let wander voice let creativity unfold friend vary presence wavelength feel sharp
